Last Name,First Name,Middle Name,Title,Subtitle,Language,Year,Series,ID,Last Name UPPER,Middle Name UPPER,First Name UPPER
Кинг,Стивен,,Oczy Smoka,,pl,,,293558,КИНГ,,СТИВЕН
Кинг,Стивен,,On Writing: A Memoir of the Craft,,en,2000.0,,480270,КИНГ,,СТИВЕН
Кинг,Стивен,,Other Worlds Than These (collection),,en,2012.0,,305701,КИНГ,,СТИВЕН
Кинг,Стивен,,"People, Places, and Things",,en,,,269495,КИНГ,,СТИВЕН
Кинг,Стивен,,Pet Sematary,,en,1983.0,Stephen Kings Novels 17,216259,КИНГ,,СТИВЕН
Кинг,Стивен,,Po zachodzie słońca,,pl,,,294811,КИНГ,,СТИВЕН
Кинг,Стивен,,Rage,,en,1977.0,Richard Bachman 1,216150,КИНГ,,СТИВЕН
Кинг,Стивен,,Rainy Season,,en,1989.0,Nightmares And Dreamscapes 13,173378,КИНГ,,СТИВЕН
Кинг,Стивен,,Red Screen,en,en,2021.0,,636768,КИНГ,,СТИВЕН
Кинг,Стивен,,Revival,,en,2014.0,,384544,КИНГ,,СТИВЕН
Кинг,Стивен,,Riding The Bullet,,en,,,269496,КИНГ,,СТИВЕН
Кинг,Стивен,,Rita Hayworth and Shawshank Redemption,,en,1982.0,Different Seasons 2,217297,КИНГ,,СТИВЕН
Кинг,Стивен,,Roadwork,,en,1981.0,Richard Bachman 3,216152,КИНГ,,СТИВЕН
Кинг,Стивен,,Rose Madder,,en,1994.0,Stephen Kings Novels 35,216260,КИНГ,,СТИВЕН
Кинг,Стивен,,Salem's Lot,,en,,,269497,КИНГ,,СТИВЕН
Кинг,Стивен,,Shining,,fr,2007.0,"Imaginaire 0|Le Livre de Poche 0|Shining, l'enfant lumière 1",522492,КИНГ,,СТИВЕН
Кинг,Стивен,,Silence,,en,,,269498,КИНГ,,СТИВЕН
Кинг,Стивен,,Six Scary Stories,,en,2016.0,,458940,КИНГ,,СТИВЕН
Кинг,Стивен,,Six Stories,,en,,,269499,КИНГ,,СТИВЕН
Кинг,Стивен,,Skeleton Crew,,en,2016.0,,454674,КИНГ,,СТИВЕН
Кинг,Стивен,,Slade,,en,,,269501,КИНГ,,СТИВЕН
Кинг,Стивен,,Sleeping Beauties,,en,2017.0,,499542,КИНГ,,СТИВЕН
Кинг,Стивен,,Sneakers,,en,,,269502,КИНГ,,СТИВЕН
Кинг,Стивен,,Sometimes They Come Back,,en,,,269503,КИНГ,,СТИВЕН
Кинг,Стивен,,Song of Susannah,,en,2004.0,Dark Tower 6,216159,КИНГ,,СТИВЕН
Кинг,Стивен,,Sprengstoff,,de,1987.0,,234559,КИНГ,,СТИВЕН
Кинг,Стивен,,Squad D,en,en,1978.0,,634561,КИНГ,,СТИВЕН
Кинг,Стивен,,Storm of the Century,,en,,,269504,КИНГ,,СТИВЕН
Кинг,Стивен,,Strefa Śmierci,,pl,,,293712,КИНГ,,СТИВЕН
Кинг,Стивен,,Suffer the Little Children,,en,,Nightmares And Dreamscapes 3,173379,КИНГ,,СТИВЕН
Кинг,Стивен,,Survivor Type,,en,,,269506,КИНГ,,СТИВЕН
Кинг,Стивен,,Svetimas,,lt,2020.0,,664484,КИНГ,,СТИВЕН
Кинг,Стивен,,Tails of Wonder and Imagination,,en,2010.0,,316163,КИНГ,,СТИВЕН
Кинг,Стивен,,Terres perdues,,fr,2006.0,La Tour Sombre 3,522176,КИНГ,,СТИВЕН
Кинг,Стивен,,The Bachman Books,,en,,,269507,КИНГ,,СТИВЕН
Кинг,Стивен,,The Bad Death of Eduard Delacroix,,en,2016.0,The Green Mile 4,450321,КИНГ,,СТИВЕН
Кинг,Стивен,,The Bazaar of Bad Dreams,,en,2001.0,,425373,КИНГ,,СТИВЕН
Кинг,Стивен,,The Best American Mystery Stories 2016,An anthology of stories edited by Elizabeth George and Otto Penzler,en,2016.0,The Best American Mystery Stories 0,469383,КИНГ,,СТИВЕН
Кинг,Стивен,,The Best Horror of the Year. Volume 4,,en,2015.0,Anthology 2012,417934,КИНГ,,СТИВЕН
Кинг,Стивен,,The Blue Air Compressor,,en,,,269508,КИНГ,,СТИВЕН
Кинг,Стивен,,The Body,,en,2018.0,,523818,КИНГ,,СТИВЕН
Кинг,Стивен,,The Cat from Hell,,en,,,269509,КИНГ,,СТИВЕН
Кинг,Стивен,,The Collective,,en,,,269510,КИНГ,,СТИВЕН
Кинг,Стивен,,The Colorado Kid,,en,2005.0,,126035,КИНГ,,СТИВЕН
Кинг,Стивен,,The Crate,,en,,,269511,КИНГ,,СТИВЕН
Кинг,Стивен,,The Cursed Expedition,,en,,,269512,КИНГ,,СТИВЕН
Кинг,Стивен,,The Dark Half,,en,,,269513,КИНГ,,СТИВЕН
Кинг,Стивен,,The Dark Man,,en,,,269514,КИНГ,,СТИВЕН
Кинг,Стивен,,The Dark Tower,,en,,Dark Tower 7,527221,КИНГ,,СТИВЕН
Кинг,Стивен,,The Dead Zone,,en,1979.0,Stephen Kings Novels 6,216170,КИНГ,,СТИВЕН
Кинг,Стивен,,The Drawing of the Three,,en,,Dark Tower 2,67279,КИНГ,,СТИВЕН
Кинг,Стивен,,The End of the Whole Mess:,,en,,,269515,КИНГ,,СТИВЕН
Кинг,Стивен,,The Eyes of the Dragon,,en,1987.0,Stephen Kings Novels 18,216253,КИНГ,,СТИВЕН
Кинг,Стивен,,The Girl Who Loved Tom Gordon,,en,,,269528,КИНГ,,СТИВЕН
Кинг,Стивен,,The Green Mile,,en,,Stephen Kings Novels 37,100993,КИНГ,,СТИВЕН
Кинг,Стивен,,The Green Mile,,de,,,263201,КИНГ,,СТИВЕН
Кинг,Стивен,,The House on Maple Street,,en,,Nightmares And Dreamscapes 19,173380,КИНГ,,СТИВЕН
Кинг,Стивен,,The Improbable Adventures of Sherlock Holmes,,en,2009.0,,190923,КИНГ,,СТИВЕН
Кинг,Стивен,,The Institute,,en,2019.0,,559179,КИНГ,,СТИВЕН
Кинг,Стивен,,The Jaunt. Travel,,en,,,269516,КИНГ,,СТИВЕН
Кинг,Стивен,,The Langoliers,,en,,Stephen Kings Novels 27,141833,КИНГ,,СТИВЕН
Кинг,Стивен,,The Leprechaun,,en,,,269517,КИНГ,,СТИВЕН
Кинг,Стивен,,The Little Sisters of Eluria,,en,1998.0,Dark Tower 0,216155,КИНГ,,СТИВЕН
Кинг,Стивен,,The Living Dead,,en,2008.0,,334095,КИНГ,,СТИВЕН
Кинг,Стивен,,The Long Walk,,en,,Richard Bachman 2,400886,КИНГ,,СТИВЕН
Кинг,Стивен,,The Man in the Black Suit : 4 Dark Tales,,en,,,269519,КИНГ,,СТИВЕН
Кинг,Стивен,,The Mist,,en,11.0,Skeleton Crew 1,94511,КИНГ,,СТИВЕН
Кинг,Стивен,,The Monkey,,en,,,269520,КИНГ,,СТИВЕН
Кинг,Стивен,,The Mouse on the Mile,,en,2016.0,The Green Mile 2,445016,КИНГ,,СТИВЕН
Кинг,Стивен,,The Night of The Tiger,,en,,,269521,КИНГ,,СТИВЕН
Кинг,Стивен,,The Other Side Of The Fog,,en,,"People, Places & Things 1",269522,КИНГ,,СТИВЕН
Кинг,Стивен,,The Outsider,,en,2018.0,,521288,КИНГ,,СТИВЕН
Кинг,Стивен,,The Plant,,en,,,317324,КИНГ,,СТИВЕН
Кинг,Стивен,,The Puffin Book of Horror Stories,,en,1996.0,,250935,КИНГ,,СТИВЕН
Кинг,Стивен,,The Regulators,,en,1996.0,Richard Bachman 6,216154,КИНГ,,СТИВЕН
Кинг,Стивен,,The Reploids,,en,,,269523,КИНГ,,СТИВЕН
Кинг,Стивен,,The Road Virus Heads North,,en,,,269524,КИНГ,,СТИВЕН
Кинг,Стивен,,The Running Man,,en,1988.0,Richard Bachman 4,216153,КИНГ,,СТИВЕН
Кинг,Стивен,,The Secret History of Fantasy,anthology,en,2010.0,,252519,КИНГ,,СТИВЕН
Кинг,Стивен,,The Shining,,en,1977.0,Shining 1,216261,КИНГ,,СТИВЕН
Кинг,Стивен,,The Stand,,en,,Stephen Kings Novels 5,123409,КИНГ,,СТИВЕН
Кинг,Стивен,,The Stand. Das letze Gefecht,,de,1990.0,,313549,КИНГ,,СТИВЕН
Кинг,Стивен,,The Stranger,,en,,"People, Places & Things 1",269525,КИНГ,,СТИВЕН
Кинг,Стивен,,The Talisman,,en,1984.0,the talisman 1,269526,КИНГ,,СТИВЕН
Кинг,Стивен,,The Thing at the Bottom of the Well,,en,,"People, Places & Things 1",269527,КИНГ,,СТИВЕН
Кинг,Стивен,,The Tommyknockers,,en,,Stephen Kings Novels 24,122857,КИНГ,,СТИВЕН
Кинг,Стивен,,The Two Dead Girls,,en,2016.0,The Green Mile 1,445015,КИНГ,,СТИВЕН
Кинг,Стивен,,"The Very Best of Fantasy & Science Fiction, Volume Two",,en,2014.0,,466805,КИНГ,,СТИВЕН
Кинг,Стивен,,The Very Best of Fantasy & Science Fiction: Sixtieth Anniversary Anthology,,en,2009.0,,464535,КИНГ,,СТИВЕН
Кинг,Стивен,,The Waste Lands,,en,1991.0,Dark Tower 3,216156,КИНГ,,СТИВЕН
Кинг,Стивен,,The Wind Through the Keyhole,,en,,Dark Tower 8,274393,КИНГ,,СТИВЕН
Кинг,Стивен,,Thinner,,en,,Richard Bachman 5,75500,КИНГ,,СТИВЕН
Кинг,Стивен,,Transgressions,,en,,,269529,КИНГ,,СТИВЕН
Кинг,Стивен,,Tursi se,calibre 2.52.0,bg,101.0,,437273,КИНГ,,СТИВЕН
Кинг,Стивен,,Tylos zona,,lt,1989.0,,515738,КИНГ,,СТИВЕН
Кинг,Стивен,,Tylos zona,,lt,1999.0,,527295,КИНГ,,СТИВЕН
Кинг,Стивен,,Umney's Last Case,,en,,Nightmares And Dreamscapes 21,173381,КИНГ,,СТИВЕН
Кинг,Стивен,,Uncollected Stories 2003,,en,,,269530,КИНГ,,СТИВЕН
Кинг,Стивен,,Under the Dome,,en,2009.0,Stephen Kings Novels 53,293026,КИНГ,,СТИВЕН
Кинг,Стивен,,Under the Dome (Под Куполом),Параллельный перевод,ru,2009.0,"Кинг, Стивен. Романы 33",435128,КИНГ,,СТИВЕН
Кинг,Стивен,,Ur,,en,2009.0,,216234,КИНГ,,СТИВЕН
Кинг,Стивен,,Wastelands: Stories of the Apocalipse,anthology,en,2008.0,Wastelands 1,235389,КИНГ,,СТИВЕН
Кинг,Стивен,,Wizard and Glass,,en,1997.0,Dark Tower 4,216157,КИНГ,,СТИВЕН
Кинг,Стивен,,Wolves of the Calla,,en,2003.0,Dark Tower 5,216158,КИНГ,,СТИВЕН
Кинг,Стивен,,Word Processor of the Gods,,en,1985.0,,407419,КИНГ,,СТИВЕН
Кинг,Стивен,,Žalioji mylia,,lt,1993.0,,527323,КИНГ,,СТИВЕН
Кинг,Стивен,,Zielona Mila,,pl,,,293557,КИНГ,,СТИВЕН
Кинг,Стивен,,Zombies: A Compendium of the Living Dead,An anthology of stories,en,2012.0,,510316,КИНГ,,СТИВЕН
Кинг,Стивен,,Zwischen Nacht und Dunkel,,de,2010.0,,216529,КИНГ,,СТИВЕН
Кинг,Стивен,,Автобус – это другой мир,,ru,2014.0,Ярмарка дурных снов [сборник] 17,372577,КИНГ,,СТИВЕН
